Language,Severity,F1,EM,CHRF,BLEU,SBERT,NLI
en-de,Major+Critical,0.6714949785777664,0.43953683961146645,75.19898637733654,59.32053426405051,0.842132627776299,0.8826566468360513
en-de,Minor,0.701172848885752,0.5098242310106718,76.16615661288743,62.762725283601256,0.8339598169486282,0.8675120933422137
en-de,Neutral,0.6664466089466089,0.44090909090909086,74.76073222704775,58.773211146001614,0.8009069708486399,0.8238095238095238
en-de,no error,0.7041172669715183,0.520050297210791,76.71482688985395,64.54321528305374,0.8489764247535818,0.879685022430708
en-es,Major+Critical,0.6676824324776662,0.3834840265220012,73.27664779828302,55.51603997271011,0.8271657206517807,0.8385267169692047
en-es,Minor,0.7238138700527244,0.4636685872450997,76.78704810443067,62.58152294989981,0.8467727793381696,0.867388439230983
en-es,Neutral,0.6795191960816961,0.4430952380952381,70.95790368700571,57.082846503503845,0.7986417019003559,0.9154004329004328
en-es,no error,0.69981333130285,0.5014925373134329,76.76314987185977,63.29921367333125,0.849971099577807,0.899279780798657
en-fr,Major+Critical,0.6752873759073128,0.4633879781420765,73.1134579970248,59.65613799837708,0.8125167889724094,0.8459700954782923
en-fr,Minor,0.6971253431528229,0.43068181818181817,75.14656236729354,59.60086285865557,0.8350118899762612,0.8950189850412062
en-fr,Neutral,0.5625,0.125,66.41599967297887,39.800609102482824,0.7904200479388237,0.875
en-fr,no error,0.7063027321670823,0.5220994475138122,77.95072760603973,63.31234791424841,0.8506657849966409,0.8890681464024006
en-ru,Major+Critical,0.6098670468200912,0.3280812324929972,68.1332901996016,51.24260587119852,0.7367252112088862,0.696392909015458
en-ru,Minor,0.7466996566112425,0.48430555555555554,77.86080795572569,63.96445101668233,0.8546862138602106,0.909453373015873
en-ru,Neutral,0.6925801694282208,0.30956284153005464,72.5371180236942,50.78048238411418,0.8399075399534625,0.9181998026260322
en-ru,no error,0.7004437586251726,0.4028497682258744,74.05497589219232,56.71752230656639,0.8532809393417135,0.8985481731180923
en-zh-CN,Major+Critical,0.5587391862848196,0.26761501210653754,63.638588934697054,45.33031824286569,0.7477261228031759,0.7920441407632339
en-zh-CN,Minor,0.632152597297121,0.3138688598467778,67.15881617857639,51.282220498365,0.8020396817109785,0.839536031326993
en-zh-CN,Neutral,0.6476491910866911,0.4395833333333333,73.35843881313991,55.612483376575675,0.8113245651397544,0.8507345085470085
en-zh-CN,no error,0.6500124274538354,0.4270083102493075,71.14409184211425,56.12827162171206,0.8254992073104851,0.8827576955492847
